Name,Title,Division
"Merritt, Ryan",Senior Writer,CORRESPONDENCE
"Hammond, Jennifer",Confidential Aide,CORRESPONDENCE
"King, Javon",Confidential Aide,CORRESPONDENCE
"Gammans, Jessica",Confidential Aide,CORRESPONDENCE
"Hartle, Kathleen",Confidential Aide,CORRESPONDENCE
"Bolani, Donna",Confidential Aide,CORRESPONDENCE
"Minkin, Natalia",Confidential Aide,CORRESPONDENCE
"Holtzman, Amanda",Confidential Aide,CORRESPONDENCE
"David, Jessica",Confidential Aide,CORRESPONDENCE
"Hill, Andrea",Confidential Aide,CORRESPONDENCE
"Brennan, Theresa",Director of Administrative Services,ADMINISTRATION
"Clark, Michelle",Assistant Director of Administrative Services,ADMINISTRATION
"Petrosino, John",Confidential Assistant,ADMINISTRATION
"Bogdan, Edward",Confidential Assistant,ADMINISTRATION
"Reyes, Jenny",Deputy Director of Administrative Services - NYC,ADMINISTRATION
"Bunnicelli, Richard","Asst Director Admin Services, Property Management",ADMINISTRATION
"Gonzalez, Sylvia",Executive Assistant,ADMINISTRATION
"Morales, Shaella",Executive Assistant,ADMINISTRATION
"Mandell, Susan",Executive Assistant,ADMINISTRATION
"Padilla, Lillian",Executive Assistant,ADMINISTRATION
"Brown, Octavia",Executive Assistant,ADMINISTRATION
"Perez, Dianne",Executive Assistant,ADMINISTRATION
"Garcia, Elias",Special Office Assistant,ADMINISTRATION
"Perez, Michael",Special Office Assistant,ADMINISTRATION
"Irvin, Thomas",Chief of Computer Services,COMPUTER SERVICES
"Jackson, Kevin",Computer Programmer,COMPUTER SERVICES
"Moore, Harold",Special Office Assistant,COMPUTER SERVICES
"Burns, Zachary",Special Office Assistant,COMPUTER SERVICES
"Comella, Maria",Chief of Staff,PRESS/COS
"Moody, Kaitlin",Deputy Director of Governor's Offices,PRESS/COS
"Allen, James",Director of Communications,PRESS/COS
"Lever, Dani",Press Secretary,PRESS/COS
"Azzopardi, Richard",Senior Deputy Communications Director,PRESS/COS
"Rosales, Leo",Deputy Director of Communications,PRESS/COS
"Brancato, Peter",Deputy Communications Director for Cabinet Affairs,PRESS/COS
"Weinstein, Jon",Deputy Communications Director for Transportation,PRESS/COS
"Rosales, Michelle",Chief Public Information Officer for Economic Dev.,PRESS/COS
